date,000016.XSHG,000905.XSHG,000300.XSHG,399673.XSHE
2016/1/25,2065.44,6041.33,3128.89,2081.1
2016/1/26,1951.61,5589.31,2940.51,1917.47
2016/1/27,1953.46,5514.19,2930.35,1936.41
2016/1/28,1912.72,5271.23,2853.76,1848.14
2016/1/29,1973.01,5469.13,2946.09,1932.69
2016/2/1,1937.07,5399.48,2901.05,1926.9
2016/2/2,1969.62,5586.63,2961.33,2005.19
2016/2/3,1952.37,5610.17,2948.64,2017.12
2016/2/4,1974.24,5721.49,2984.76,2054.18
2016/2/5,1967.26,5664.2,2963.79,2019.44
2016/2/15,1948.28,5668.04,2946.71,2037.84
2016/2/16,2000.9,5902.53,3037.04,2121.47
2016/2/17,2014.44,5971.41,3063.32,2129.45
2016/2/18,2009.27,5957.13,3053.7,2105.84
2016/2/19,2004.11,5979.52,3051.59,2127.29
2016/2/22,2053.86,6103.72,3118.87,2156.37
2016/2/23,2029.52,6070.5,3089.36,2123.84
2016/2/24,2041.39,6111.04,3109.55,2112.74
2016/2/25,1932.6,5626.05,2918.75,1949.24
2016/2/26,1955.4,5648.94,2948.03,1923.02
2016/2/29,1944.61,5350.43,2877.47,1780.99
2016/3/1,1973.19,5473.63,2930.69,1830.91
2016/3/2,2043.41,5753.15,3051.33,1906.77
2016/3/3,2053.27,5776.98,3058.42,1902.83
2016/3/4,2122.27,5621.56,3093.89,1803.82
2016/3/7,2107.67,5752.55,3104.84,1851.27
2016/3/8,2115.16,5764.33,3107.67,1898.85
2016/3/9,2111.92,5617.04,3071.91,1872.01
2016/3/10,2061.45,5521.95,3013.15,1838.73
2016/3/11,2070.72,5508.98,3018.28,1835.61
2016/3/14,2078.41,5690.59,3065.69,1921.25
2016/3/15,2101.12,5639.8,3074.78,1894.8
2016/3/16,2136.13,5562.8,3090.03,1879.77
2016/3/17,2131.48,5745.98,3124.2,1983.04
2016/3/18,2141.18,5949.26,3171.96,2073.17
2016/3/21,2193.39,6099.48,3249.44,2125.67
2016/3/22,2173.26,6075.49,3225.79,2114.8
2016/3/23,2175.28,6118.97,3236.09,2151.52
2016/3/24,2137.59,6018.42,3181.85,2112.51
2016/3/25,2149.2,6077.43,3197.82,2110.85
2016/3/28,2123.03,6037.78,3169.73,2094.67
2016/3/29,2106.86,5921.87,3135.41,2057.98
2016/3/30,2157.53,6137.5,3216.28,2145.38
2016/3/31,2156.54,6155.81,3218.09,2137.42
2016/4/1,2167.78,6124.53,3221.89,2109.51
2016/4/5,2180.26,6286.58,3264.49,2183.32
2016/4/6,2168.04,6323.43,3257.53,2200.8
2016/4/7,2139.4,6228.97,3209.29,2154.93
2016/4/8,2123.8,6168.74,3185.73,2138.01
2016/4/11,2148.44,6304.3,3230.1,2181.96
2016/4/12,2143.9,6252.77,3218.45,2166.97
2016/4/13,2171.32,6344.23,3261.38,2197.21
2016/4/14,2178.87,6401.85,3275.83,2233.88
2016/4/15,2182.07,6384.35,3272.21,2214.58
2016/4/18,2158.23,6281.2,3228.45,2176.51
2016/4/19,2163.61,6308.23,3238.3,2182.14
2016/4/20,2154.89,6022.21,3181.03,2063.01
2016/4/21,2147.72,5970.68,3160.6,2027.22
2016/4/22,2157.72,6011.32,3174.9,2050.08
2016/4/25,2148.28,5978.08,3162.03,2038.89
2016/4/26,2155.79,6046.77,3179.16,2065.96
2016/4/27,2145.38,6016.7,3165.92,2061.39
2016/4/28,2142.06,5990.33,3160.58,2074.05
2016/4/29,2135.51,5985.59,3156.75,2058.21
2016/5/3,2158.27,6167.45,3213.54,2131.98
2016/5/4,2152.93,6169.78,3209.46,2122.79
2016/5/5,2152.88,6203.82,3213.92,2134.49
2016/5/6,2107.01,5961.49,3130.35,2040.15
2016/5/9,2072.47,5743.65,3065.62,1973.41
2016/5/10,2072.38,5738.9,3069.11,1973.29
2016/5/11,2078.41,5723.41,3082.81,1944.78
2016/5/12,2084.84,5726.46,3090.14,1941.28
2016/5/13,2076.19,5714.31,3074.94,1933.04
2016/5/16,2082.62,5812.54,3095.31,1958.72
2016/5/17,2075.47,5790.34,3086.02,1984.36
